User Name,Number of Tweet,Number of Retweet,Average Length of Tweets,Standard Deviation of Length of Tweets,Average Number of Post Containing URLs,Number of Words Per Tweet,Number of Digits Per Tweet,Retweet Ratio,Hashtag Ratio,Mention Ratio,URL Ratio,Unique Mention Ratio,Unique Post Ratio,Mean of Like Count,Mean of Quote Count,Mean of Reply Count,Mean of Retweet Count,Number of Unique Source,Source Ratio,Number of Post Per Day,Tweet Similarity,Maximum Time Interval Between Post,Minimum Time Interval Between Post,Mean of Time Between Post,Standard Deviation of Time Interval Between Post,Idle Hours,Maximum Time Interval Between Retweets,Minimum Time Interval Between Retweets,Mean of Time Between Retweets,Standard Deviation of Time Interval Between Retweets,Maximum Time Interval Between Tweets,Minimum Time Interval Between Tweets,Mean of Time Between Tweets,Standard Deviation of Time Interval Between Tweets,Post Time Pattern,Followers Count,Following Count,Listed Count,Protected,Verified,Length of Description,Followers Ratio,Profile Image,Age of Account in Days,Listed Count Ratio,Reputation,Burstiness,Class
gAAAAABlHALRI4s4yzX_oA8HL3QRk4YQDSOnbMa3cBlC7paigUxAFFMCQLNiOWw0sptDFLq7SfMZ9tySCYc1dVI9Lv3gRFVSXw==,0,5,0.0,0.0,0.0,99,1.6,1.0,1.8,2.0,0.0,0.6,1.0,0.0,0.0,0.0,106.0,1,0.0005081300813,1.25,0.0,2857175,3534,1275037.25,1350054.438,1416.708056,2857175,3534,1275037.25,1350054.438,0,0,0.0,0.0,2.0,1113,1721,3,0,0,140,0.646717025,1,494,0.006072874494,0.3927311221,1.999998601,0
gAAAAABlHALRHYrMc-snZ8561EEL8CxvhXqSsteirO3jj_3QI9oKYacj9oHkct_pGdoxNoUufxJz6VNxBhYAGeCoqX6rzN1Aiw==,0,1,0.0,0.0,0.0,24,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,860.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,58,522,0,0,0,39,0.1111111111,1,4151,0.0,0.1,1.0,0
gAAAAABlHALReES-quPMKkeudCYvDVxnoVTTmH-QFHdjBme50Jg_wHYM3sJkQx3C2yylsTygWMfj47e3JMrSR8VWUOCmleB8Ng==,0,1,0.0,0.0,0.0,23,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,236.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1346,3679,36,0,0,159,0.3658602881,1,4855,0.007415036045,0.2678606965,1.0,0
gAAAAABlHALRsPue3WFp7C8U88v7mtd_sfgwd8dy2EZ9hcft3CBY9YuDpeOJLksdw4O1ZJ20aJR2QtbwtCMBdnZcjKdO5Ped2w==,0,1,0.0,0.0,0.0,23,14.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,51.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,597,1408,0,0,0,84,0.4240056818,1,2439,0.0,0.297755611,1.0,0
gAAAAABlHALR3fKIWzzj_JTnKclkoB6uZUq8L6xrO9ptxwvZpriRSifvbjnDrS2_wWn0Xhv9D7l3RXL5qKR8CTJ18WsiBGiBtA==,0,1,0.0,0.0,0.0,19,2.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,258,694,0,0,0,108,0.3717579251,1,713,0.0,0.2710084034,1.0,0
gAAAAABlHALR6VbgjyM6hc4jkgsjPmH36kUOMnrbLvAAD7PxL8WCLiRqVx8pnm8ZcN2QVyw37fwsKTszmhH96J8HrK1OYmCvlw==,0,1,0.0,0.0,0.0,21,4.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,861.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1,81,1,0,0,0,0.01234567901,1,925,0.001081081081,0.01219512195,1.0,0
gAAAAABlHALR0Sx65rY-TXr23sTj2sCDVLbo99KRvwr-A4SgGqKKWxsBiMXFgYwEHE4JyhO_jTK_4840c4fOJ4LRDTL0wyL87g==,0,1,0.0,0.0,0.0,25,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,204.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,948,1528,43,0,0,163,0.6204188482,1,625,0.0688,0.3828756058,1.0,0
gAAAAABlHALRWRk5ESbw8qc7WnZuTIfooG0MXAbqy1k4Ul-8fkIsudNmpu1lsuVzF_alSGm2_47vdKdPPCUFq-7N2arHF9gG4w==,0,1,0.0,0.0,0.0,19,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,324.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,112,0,0,0,0,0.0,1,1269,0.0,0.0,1.0,0
gAAAAABlHALREnB_mDZLYn5EM3i0edfqHUuKlr_wAmBNGCfMh3hbL8BT6BrXqA5GAw8E54YWnqHg1S4V2z0phhxEyEmRp_iAZQ==,0,1,0.0,0.0,0.0,24,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,624,943,2,0,0,96,0.6617179215,1,1087,0.001839926403,0.3982131461,1.0,0
gAAAAABlHALRocGSgo8cVVu4Klv59smsrsXNb67gqc-qbPNfPvNunU2nGOlvmKLBufaHWpBGOk7_CBR-xK4gl2vjdGr09OPi_g==,0,1,0.0,0.0,0.0,24,10.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,816.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1,155,0,0,0,0,0.006451612903,1,472,0.0,0.00641025641,1.0,0
